ime_poti,cas_poti,tezavnost_poti,vrh 
Uskovnica (Razpotje) - Veliki Draški vrh (čez planino Spodnji Tosc),255,"zahtevna označena pot, delno zahtevna neoznačena pot",Veliki Draški vrh
Konec ceste na Pokljuki  - Veliki Draški vrh (pot čez severni raz),195,zahtevno brezpotje,Veliki Draški vrh
Uskovnica (Razpotje) - Veliki Draški vrh (čez Jezerce in Studorski preval),215,delno zahtevna neoznačena pot,Veliki Draški vrh
Uskovnica (Lom) - Veliki Draški vrh (čez Jezerce in Studorski preval),235,delno zahtevna neoznačena pot,Veliki Draški vrh
Uskovnica (Lom) - Veliki Draški vrh (čez planino Spodnji Tosc),255,"zahtevna označena pot, delno zahtevna neoznačena pot",Veliki Draški vrh
Srednja vas - Veliki Draški vrh (Za Ribnico in čez planino Spodnji Tosc),340,"zahtevna označena pot, delno zahtevna neoznačena pot",Veliki Draški vrh
"Srednja vas - Veliki Draški vrh (Za Ribnico, čez Jezerce in Studorski preval)",320,delno zahtevna neoznačena pot,Veliki Draški vrh
Dom v Tamarju - Zadnja Ponca,240,zelo zahtevna označena pot,Zadnja Ponca
Belopeška jezera - Zadnja Ponca,270,zelo zahtevna označena pot,Zadnja Ponca
Rifugio Gilberti - Vrh Grubje,150,lahko brezpotje,Vrh Grubje
Dom v Tamarju - Srednja Ponca,195,zahtevna označena pot,Srednja Ponca
Belopeška jezera - Srednja Ponca,225,zelo zahtevna označena pot,Srednja Ponca
Koča pri Savici - Čelo,420,lahko brezpotje,Čelo
Pod Zjabci - Čelo,315,lahko brezpotje,Čelo
Konec ceste na Vogar - Čelo (čez Prode),440,lahko brezpotje,Čelo
Planina Blato - Čelo (čez Štapce),435,"delno zahtevna označena pot, lahko brezpotje",Čelo
Planina Blato - Čelo (čez Prode),435,lahko brezpotje,Čelo
Konec ceste na Vogar - Čelo (čez Štapce),440,"delno zahtevna označena pot, lahko brezpotje",Čelo
Koča pri Savici - Čelo (čez Komno),465,lahko brezpotje,Čelo
Planina Blato - Srednji Vogel,240,lahko brezpotje,Srednji Vogel
Konec ceste na Vogar - Srednji Vogel (mimo Grive),285,lahko brezpotje,Srednji Vogel
Konec ceste na Pokljuki - Vernar,255,zelo zahtevno brezpotje,Vernar
Dolina Krma - Vernar,270,zelo zahtevno brezpotje,Vernar
Stara Fužina - Vernar,360,zelo zahtevno brezpotje,Vernar
Planina Blato - Vernar (čez Grintovico),300,zelo zahtevno brezpotje,Vernar
Uskovnica (Razpotje) - Vernar,285,zelo zahtevno brezpotje,Vernar
Uskovnica (Lom) - Vernar,290,zelo zahtevno brezpotje,Vernar
Srednja vas - Vernar (Za Ribnico in čez planino Spodnji Tosc),375,zelo zahtevno brezpotje,Vernar
Trdnjava Kluže - Rombon,300,lahka označena pot,Rombon
Zavrzelno - Rombon,300,delno zahtevna označena pot,Rombon
D postaja - Rombon,300,delno zahtevna označena pot,Rombon
Nevejski preval - Rombon (pot 636),405,delno zahtevna označena pot,Rombon
Nevejski preval - Rombon (po smučarski progi),390,delno zahtevna označena pot,Rombon
Zadnjica - Vodnikov Vršac (Vršac nad Zadnjico),295,lahko brezpotje,Vodnikov Vršac (Vršac nad Zadnjico)
Zadnjica - Vodnikov Vršac (Vršac nad Zadnjico) (pot Mire Marko Debelakove),395,"zelo zahtevna označena pot, lahko brezpotje",Vodnikov Vršac (Vršac nad Zadnjico)
Trenta - Vodnikov Vršac (Vršac nad Zadnjico),295,lahko brezpotje,Vodnikov Vršac (Vršac nad Zadnjico)
Koča pri Savici - Vodnikov Vršac (Vršac nad Zadnjico),340,"zahtevna označena pot, lahko brezpotje",Vodnikov Vršac (Vršac nad Zadnjico)
Planina Blato - Vodnikov Vršac (Vršac nad Zadnjico) (po dolini Za Kopico),340,lahko brezpotje,Vodnikov Vršac (Vršac nad Zadnjico)
Planina Blato - Kopica (čez Štapce),270,"lahka označena pot, lahko brezpotje",Kopica
Koča pri Savici - Kopica,300,"zahtevna označena pot, lahko brezpotje",Kopica
Konec ceste na Vogar - Kopica (čez Štapce),275,"lahka označena pot, lahko brezpotje",Kopica
Loška Koritnica - Plešivec (Loška stena),225,"zelo zahtevna označena pot, delno zahtevna neoznačena pot",Plešivec (Loška stena)
Bavšica - Plešivec (Loška stena),270,delno zahtevna neoznačena pot,Plešivec (Loška stena)
Planina Kuhinja - Gomiščkovo zavetišče na Krnu,185,lahka označena pot,Gomiščkovo zavetišče na Krnu
Dom v Lepeni - Gomiščkovo zavetišče na Krnu,300,lahka označena pot,Gomiščkovo zavetišče na Krnu
Drežnica - Gomiščkovo zavetišče na Krnu (pot Silva Korena),290,zelo zahtevna označena pot,Gomiščkovo zavetišče na Krnu
Koča na planini Kuhinja - Gomiščkovo zavetišče na Krnu,180,lahka označena pot,Gomiščkovo zavetišče na Krnu
Drežnica - Gomiščkovo zavetišče na Krnu (južna pot),290,lahka označena pot,Gomiščkovo zavetišče na Krnu
Planina Blato - Prvi Vogel,240,lahko brezpotje,Prvi Vogel
Konec ceste na Vogar - Prvi Vogel (mimo Grive),285,lahko brezpotje,Prvi Vogel
Ruski križ - Bivak v Veliki Dnini,225,zahtevno brezpotje,Bivak v Veliki Dnini
Planina Kuhinja - Vrh nad Peski,240,lahka neoznačena steza,Vrh nad Peski
Dom v Lepeni - Vrh nad Peski (čez Prag),285,lahka neoznačena steza,Vrh nad Peski
Krn - Vrh nad Peski (čez planino Sleme),280,lahka neoznačena steza,Vrh nad Peski
 Planina Polog - Vrh nad Peski (čez Prehodce),325,lahka neoznačena steza,Vrh nad Peski
Planina Polog - Vrh nad Peski (čez planino Sleme),345,lahka neoznačena steza,Vrh nad Peski
Koča pri Savici - Vrh nad Peski (čez Prehodce),390,lahka neoznačena steza,Vrh nad Peski
Planina Kuhinja - Batognica,200,delno zahtevna označena pot,Batognica
Planina Kuhinja - Batognica (mimo jezera v Lužnici),240,lahka označena pot,Batognica
Dom v Lepeni - Batognica (čez Krnsko škrbino),290,delno zahtevna označena pot,Batognica
Krn - Batognica (čez planino Sleme),280,lahka označena pot,Batognica
Dom v Lepeni - Batognica (čez Prag),285,lahka neoznačena steza,Batognica
Koča pri Savici - Batognica (čez Prehodce),425,lahka označena pot,Batognica
 Planina Polog - Batognica (čez Prehodce),360,lahka označena pot,Batognica
Koča na planini Kuhinja - Batognica,195,delno zahtevna označena pot,Batognica
Planina Polog - Batognica (čez planino Sleme),345,lahka označena pot,Batognica
Zadnjica - Zgornje Kriško jezero,285,lahka neoznačena steza,Zgornje Kriško jezero
Aljažev dom v Vratih - Zgornje Kriško jezero (mimo Pogačnikovega doma),315,lahka neoznačena steza,Zgornje Kriško jezero
Zadnjica - Koča na Doliču,285,lahka označena pot,Koča na Doliču
Konec ceste na Pokljuki - Koča na Doliču,300,lahka označena pot,Koča na Doliču
Planina Blato - Koča na Doliču (Za Kopico),315,lahka označena pot,Koča na Doliču
Zadnjica - Koča na Doliču (čez Komar),285,zelo zahtevna označena pot,Koča na Doliču
Koča pri Savici - Koča na Doliču,375,zahtevna označena pot,Koča na Doliču
Dolina Krma - Koča na Doliču,330,lahka označena pot,Koča na Doliču
 Zadnjica - Koča na Doliču (pot Mire Marko Debelakove),405,zelo zahtevna označena pot,Koča na Doliču
 Planina Blato - Koča na Doliču (čez Grintovico),330,lahka neoznačena steza,Koča na Doliču
Aljažev dom v Vratih - Koča na Doliču,340,lahka označena pot,Koča na Doliču
Parkirišče pod Pl. Kot - Velika Baba (Kanin) (preko Zg. Brda in sedla Med Baban),195,zahtevna označena pot,Velika Baba (Kanin)
Nevejski preval - Bela peč/Monte Bila pec,165,zahtevna označena pot,Bela peč/Monte Bila pec
Planina Zapleč - Krnčica (neoznačena mulatjera ),180,delno zahtevna neoznačena pot,Krnčica
Planina Zapleč - Krnčica (s planine Zaprikraj čez Vršič),240,delno zahtevna neoznačena pot,Krnčica
Dolina Krma - Teme,260,zahtevno brezpotje,Teme
Dom v Tamarju - Kotovo sedlo (mimo bivaka),195,delno zahtevna označena pot,Kotovo sedlo
Dom v Tamarju - Kotovo sedlo (po melišču),195,lahka označena pot,Kotovo sedlo
Rudno polje - Mali Draški vrh (čez Viševnik),165,zahtevna neoznačena steza,Mali Draški vrh
Rudno polje - Mali Draški vrh (čez Kačji rob),155,zahtevna neoznačena steza,Mali Draški vrh
Konec ceste na Pokljuki - Mali Draški vrh,155,zahtevna neoznačena steza,Mali Draški vrh
Rudno polje - Mali Draški vrh (skozi Zgornji Razor),215,zahtevna neoznačena steza,Mali Draški vrh
Rudno polje - Mali Draški vrh (čez Jezerce in Srenjski preval),155,zahtevna neoznačena steza,Mali Draški vrh
Uskovnica (Lom) - Mali Draški vrh,210,zahtevna neoznačena steza,Mali Draški vrh
Uskovnica (Razpotje) - Mali Draški vrh,190,zahtevna neoznačena steza,Mali Draški vrh
Srednja vas - Mali Draški vrh (Za Ribnico),295,zahtevna neoznačena steza,Mali Draški vrh
Bele Vode - Jerebica,210,delno zahtevna označena pot,Jerebica
Možnica - Jerebica,300,zahtevna označena pot,Jerebica
Gozdec - Veliki Babanski Skedenj (preko Ruše in čez sedlo Jezerca),210,delno zahtevna neoznačena pot,Veliki Babanski Skedenj
Zadnja Trenta (Flori) - Šmihelovec,260,"zahtevno brezpotje, zahtevna označena pot",Šmihelovec
Poldov rovt (Vrata) - Bivak na Jezerih,240,zahtevna neoznačena steza,Bivak na Jezerih
Galerija Berebica v Trenti - Trentski Pelc (Stara vojaška cesta - Trentski Pelc),270,zelo zahtevno brezpotje,Trentski Pelc
Zadnja Trenta (Flori) - Vršac (nad Zadnjo Trento),270,"zahtevno brezpotje, zelo zahtevna označena pot",Vršac (nad Zadnjo Trento)
Zadnja Trenta (Flori) - Vršac (nad Zadnjo Trento) (čez Srednjico),285,"zahtevno brezpotje, zelo zahtevna označena pot",Vršac (nad Zadnjo Trento)
Vršič - Suhi vrh,135,zahtevno brezpotje,Suhi vrh
Mlinarica - Goličica,220,zahtevna neoznačena steza,Goličica
Rudno polje - Cesar,250,zahtevno brezpotje,Cesar
Planina Blato - Velika Tičarica,230,zahtevno brezpotje,Velika Tičarica
Koča pri Savici - Velika Tičarica,260,zahtevno brezpotje,Velika Tičarica
Konec ceste na Vogar - Velika Tičarica,225,zahtevno brezpotje,Velika Tičarica
Zadnja Trenta (Flori) - Zagorelec,250,"lahko brezpotje, zahtevna označena pot",Zagorelec
Planina Zajzera - Poldašnja špica/Jof di Miezegnot,170,delno zahtevna označena pot,Poldašnja špica/Jof di Miezegnot
Ovčja vas / Valbruna - Poldašnja špica/Jof di Miezegnot (čez Planino Ravne),225,zahtevna označena pot,Poldašnja špica/Jof di Miezegnot
Ovčja vas / Valbruna - Poldašnja špica/Jof di Miezegnot (čez Planino Strehica),240,zahtevna označena pot,Poldašnja špica/Jof di Miezegnot
Planina Blato - Ogradi,165,lahka neoznačena steza,Ogradi
Planina Blato - Ogradi (čez planino Krstenica),195,lahka neoznačena steza,Ogradi
Stara Fužina - Ogradi,300,lahka neoznačena steza,Ogradi
Vršič - Šitna glava,80,lahka neoznačena steza,Šitna glava
Planina Kuk - Tolminski Kuk,270,delno zahtevna označena pot,Tolminski Kuk
Koča pri Savici - Tolminski Kuk (čez Vrh Planje),375,zahtevna označena pot,Tolminski Kuk
 Koča pri Savici - Tolminski Kuk (direktna pot),345,zahtevna neoznačena steza,Tolminski Kuk
Koča pri Savici - Tolminski Kuk (mimo Doma na Komni in čez Škrbino),405,delno zahtevna označena pot,Tolminski Kuk
Tolminske Ravne - Tolminski Kuk (čez planino Razor),285,zahtevna označena pot,Tolminski Kuk
Ski hotel Vogel - Tolminski Kuk,335,delno zahtevna označena pot,Tolminski Kuk
Ukanc - Tolminski Kuk,330,"lahka neoznačena steza, delno zahtevna označena pot",Tolminski Kuk
Planina Polog - Tolminski Kuk (čez planino Dobrenjščico),375,"lahko brezpotje, zahtevna označena pot",Tolminski Kuk
Tolminske Ravne - Tolminski Kuk (mimo planine Kal),240,lahka označena pot,Tolminski Kuk
Kneške Ravne - Tolminski Kuk (čez Škrbino),375,"lahka neoznačena steza, delno zahtevna označena pot",Tolminski Kuk
Zadnjica - Zadnjiški Ozebnik,255,lahka neoznačena steza,Zadnjiški Ozebnik
Trenta - Zadnjiški Ozebnik,255,lahka neoznačena steza,Zadnjiški Ozebnik
Mojstrana - Sleme,255,lahka označena pot,Sleme
Plaz Črlovec - Sleme (zgornja pot),265,"delno zahtevna neoznačena pot, lahka označena pot",Sleme
Plaz Črlovec - Sleme (čez Vrtaško planino),240,"zahtevna neoznačena steza, lahka označena pot",Sleme
Planina Blato - Slatna,180,lahko brezpotje,Slatna
Planina  Blato - Slatna (čez Kredo),200,lahko brezpotje,Slatna
Konec ceste na Vogar - Slatna (mimo Grive),225,lahka neoznačena steza,Slatna
Planina Blato - Prevalski Stog,200,delno zahtevna neoznačena pot,Prevalski Stog
Planina Blato - Prevalski Stog (čez Adama in Evo),220,lahko brezpotje,Prevalski Stog
Konec ceste na Pokljuki - Prevalski Stog,300,delno zahtevna neoznačena pot,Prevalski Stog
Stara Fužina - Prevalski Stog (čez planino Krstenica),305,delno zahtevna neoznačena pot,Prevalski Stog
Rudno polje - Prevalski Stog,320,delno zahtevna neoznačena pot,Prevalski Stog
Gozd Martuljek - Rigljica (normalni pristop),300,alpinistični vzpon,Rigljica
Svete Višarje / Monte Lussari - Kamniti lovec / Cima del Cacciatore,90,zahtevna označena pot,Kamniti lovec / Cima del Cacciatore
Žabnice / Camporosso in Valcanale - Kamniti lovec / Cima del Cacciatore,210,zahtevna označena pot,Kamniti lovec / Cima del Cacciatore
Ovčja vas / Valbruna - Kamniti lovec / Cima del Cacciatore,240,zahtevna označena pot,Kamniti lovec / Cima del Cacciatore
Trbiž / Tarviso - Kamniti lovec / Cima del Cacciatore (po servisni cesti),265,"lahka neoznačena steza, zahtevna označena pot",Kamniti lovec / Cima del Cacciatore
Zadnjica - Zasavska koča na Prehodavcih,255,lahka označena pot,Zasavska koča na Prehodavcih
Trenta - Zasavska koča na Prehodavcih,255,lahka označena pot,Zasavska koča na Prehodavcih
Planina Blato - Zasavska koča na Prehodavcih (Za Kopico),300,lahka označena pot,Zasavska koča na Prehodavcih
Koča pri Savici - Zasavska koča na Prehodavcih,300,zahtevna označena pot,Zasavska koča na Prehodavcih
Planina Blato - Zasavska koča na Prehodavcih (čez Prode),315,lahka označena pot,Zasavska koča na Prehodavcih
Planina Blato - Zasavska koča na Prehodavcih (čez Štapce),315,delno zahtevna označena pot,Zasavska koča na Prehodavcih
Zadnjica - Zasavska koča na Prehodavcih (pot Mire Marko Debelakove),390,zelo zahtevna označena pot,Zasavska koča na Prehodavcih
Planina Blato - Mala Tičarica (čez Štapce),210,lahka označena pot,Mala Tičarica
Koča pri Savici - Mala Tičarica,240,zahtevna označena pot,Mala Tičarica
Konec ceste na Vogar - Mala Tičarica (čez Štapce),215,lahka označena pot,Mala Tičarica
Planina Blato - Mala Tičarica (snežni pristop),210,lahko brezpotje,Mala Tičarica
Vršič - Zavetišče pod Špičkom,240,lahka označena pot,Zavetišče pod Špičkom
Zadnja Trenta (Flori) - Zavetišče pod Špičkom,210,lahka označena pot,Zavetišče pod Špičkom
Bavšica - Zavetišče pod Špičkom,345,zelo zahtevna označena pot,Zavetišče pod Špičkom
Loška Koritnica - Zavetišče pod Špičkom,300,zelo zahtevna označena pot,Zavetišče pod Špičkom
Belopeška jezera - Poldnik (Kopa) / Picco di Mezzodi,180,zelo zahtevna označena pot,Poldnik (Kopa) / Picco di Mezzodi
Ski hotel Vogel - Podrta gora (po Bohinjski planinski poti),280,zahtevno brezpotje,Podrta gora
Koča pri Savici - Podrta gora (pristop po grebenu iz zahodne strani),420,zahtevno brezpotje,Podrta gora
Ski hotel Vogel - Podrta gora (po BPP pod Rušnatim vrhom in čez Mejo in Škrbino),290,"zelo zahtevna označena pot, zahtevno brezpotje",Podrta gora
Dolina Krma - Veliki Pršivec,240,lahko brezpotje,Veliki Pršivec
Planina Kuk - Vrh nad Škrbino (čez Škrbino),225,zelo zahtevna označena pot,Vrh nad Škrbino
Planina Kuk - Vrh nad Škrbino (direktna pot),195,delno zahtevna označena pot,Vrh nad Škrbino
Ukanc - Vrh nad Škrbino,285,"lahka neoznačena steza, zelo zahtevna označena pot",Vrh nad Škrbino
Koča pri Savici - Vrh nad Škrbino (mimo Doma na Komni in čez Škrbino),360,zelo zahtevna označena pot,Vrh nad Škrbino
Ski hotel Vogel - Vrh nad Škrbino,290,zelo zahtevna označena pot,Vrh nad Škrbino
Tolminske Ravne - Vrh nad Škrbino (po strmi in direktni poti),210,zahtevna označena pot,Vrh nad Škrbino
Tolminske Ravne - Vrh nad Škrbino (po strmi poti in čez Škrbino),240,zelo zahtevna označena pot,Vrh nad Škrbino
Tolminske Ravne - Vrh nad Škrbino (po mulatjeri in direktni poti),240,delno zahtevna označena pot,Vrh nad Škrbino
Ski hotel Vogel - Vrh nad Škrbino (po Bohinjski planinski poti),270,zelo zahtevna označena pot,Vrh nad Škrbino
Ski hotel Vogel - Vrh nad Škrbino (po BPP pod Rušnatim vrhom in po grebenu čez Mejo),230,zahtevno brezpotje,Vrh nad Škrbino
Kneške Ravne - Vrh nad Škrbino (čez Škrbino),330,"lahka neoznačena steza, zelo zahtevna označena pot",Vrh nad Škrbino
Kneške Ravne - Vrh nad Škrbino (direktna pot),300,"lahka neoznačena steza, delno zahtevna označena pot",Vrh nad Škrbino
Planina Kuk - Zeleni vrh,245,delno zahtevna označena pot,Zeleni vrh
Koča pri Savici - Zeleni vrh (mimo Doma na Komni in čez Škrbino),380,delno zahtevna označena pot,Zeleni vrh
Ukanc - Zeleni vrh,305,"lahka neoznačena steza, delno zahtevna označena pot",Zeleni vrh
Ski hotel Vogel - Zeleni vrh,310,delno zahtevna označena pot,Zeleni vrh
Tolminske Ravne - Zeleni vrh (čez planino Razor),260,zahtevna označena pot,Zeleni vrh
Kneške Ravne - Zeleni vrh (čez Škrbino),350,"lahka neoznačena steza, delno zahtevna označena pot",Zeleni vrh
Zadnjica - Pogačnikov dom na Kriških podih,240,lahka označena pot,Pogačnikov dom na Kriških podih
Aljažev dom v Vratih - Pogačnikov dom na Kriških podih (čez Sovatno),270,delno zahtevna označena pot,Pogačnikov dom na Kriških podih
Ruski križ - Pogačnikov dom na Kriških podih (čez Kriško steno),310,zelo zahtevna označena pot,Pogačnikov dom na Kriških podih
Pišnica - Pogačnikov dom na Kriških podih,345,zelo zahtevna označena pot,Pogačnikov dom na Kriških podih
Rudno polje - Viševnik,120,lahka označena pot,Viševnik
 Rudno polje - Viševnik (čez Kačji rob),140,delno zahtevna označena pot,Viševnik
Konec ceste na Pokljuki - Viševnik (čez Srenjski preval),140,delno zahtevna označena pot,Viševnik
Rudno polje - Viševnik (čez Jezerce in Srenjski preval),160,delno zahtevna označena pot,Viševnik
Rudno polje - Viševnik (skozi Zgornji Razor),200,"lahka neoznačena steza, delno zahtevna označena pot",Viševnik
Planina Zajavornik - Viševnik,210,delno zahtevna označena pot,Viševnik
Medvedova konta - Viševnik,195,delno zahtevna označena pot,Viševnik
Konec ceste na Pokljuki - Viševnik (čez Golo Ravan),135,lahka neoznačena steza,Viševnik
Pri Rupah - Viševnik,195,delno zahtevna označena pot,Viševnik
Rudno polje - Viševnik (čez Golo Ravan),135,lahka neoznačena steza,Viševnik
Konec ceste na Pokljuki - Viševnik (mimo izvira Zlate vode),140,lahka neoznačena steza,Viševnik
Rudno polje - Viševnik (mimo izvira Zlate vode),140,lahka neoznačena steza,Viševnik
Uskovnica (Razpotje) - Viševnik (mimo izvira Zlate vode),175,lahka neoznačena steza,Viševnik
Uskovnica (Lom) - Viševnik (čez Srenjski preval),195,delno zahtevna označena pot,Viševnik
Uskovnica (Razpotje) - Viševnik (čez Srenjski preval),175,delno zahtevna označena pot,Viševnik
Uskovnica (Lom) - Viševnik (mimo izvira Zlate vode),195,lahka neoznačena steza,Viševnik
Srednja vas - Viševnik (Za Ribnico in čez Srenjski preval),280,delno zahtevna označena pot,Viševnik
Uskovnica (Razpotje) - Viševnik (čez Golo Ravan),170,lahka neoznačena steza,Viševnik
Uskovnica (Lom) - Viševnik (čez Golo Ravan),190,lahka neoznačena steza,Viševnik
Srednja vas - Viševnik (Za Ribnico in čez Golo Ravan),275,lahka neoznačena steza,Viševnik
Srednja vas - Viševnik (Za Ribnico in mimo izvira Zlate vode),280,lahka neoznačena steza,Viševnik
Planina Zajzera - Cima Alta (Dve špici) (po poti 648),240,zahtevna označena pot,Cima Alta (Dve špici)
Lužnice - Cima Alta (Dve špici),240,zahtevna označena pot,Cima Alta (Dve špici)
Lužnice - Cima Alta (Dve špici) (čez Forcella Cuel Tarond),345,zelo zahtevna označena pot,Cima Alta (Dve špici)
Ombrico - Cima Alta (Dve špici),230,"lahka neoznačena steza, zelo zahtevna označena pot",Cima Alta (Dve špici)
Dom v Lepeni - Veliki Lemež,270,zahtevno brezpotje,Veliki Lemež
Lepena - Veliki Lemež (čez planino Zagreben),360,zahtevno brezpotje,Veliki Lemež
Rifugio Gilberti - Bivak Marrusich,120,lahka označena pot,Bivak Marrusich
Reklanska dolina - Bivak Marrusich,240,zahtevna označena pot,Bivak Marrusich
Planina Blato - Jezerski Stog,180,delno zahtevna neoznačena pot,Jezerski Stog
Stara Fužina - Jezerski Stog (čez Krstenico),285,delno zahtevna neoznačena pot,Jezerski Stog
Stara Fužina - Jezerski Stog (čez planino pod Mišelj vrhom),330,"lahka označena pot, delno zahtevna neoznačena pot",Jezerski Stog
Planina Blato - Jezerski Stog (čez planino pod Mišelj vrhom),240,delno zahtevna neoznačena pot,Jezerski Stog
Konec ceste na Pokljuki - Jezerski Stog,300,"lahka označena pot, delno zahtevna neoznačena pot",Jezerski Stog
Uskovnica (Lom) - Jezerski Stog (čez planino Spodnji Tosc),335,"zahtevna označena pot, delno zahtevna neoznačena pot",Jezerski Stog
Gozd Martuljek - Na Pečeh (čez Kotle),270,"zahtevna neoznačena steza, lahko brezpotje",Na Pečeh
Krn - Srednji vrh (nad jezerom v Lužnici) (čez planino Sleme),250,"lahka označena pot, lahko brezpotje",Srednji vrh (nad jezerom v Lužnici)
Planina Polog - Srednji vrh (nad jezerom v Lužnici),315,"lahka označena pot, lahko brezpotje",Srednji vrh (nad jezerom v Lužnici)
Planina Kuninja - Srednji vrh (nad jezerom v Lužnici),210,"lahka označena pot, lahko brezpotje",Srednji vrh (nad jezerom v Lužnici)
Mojstrana - Drobeče Sleme,255,lahka neoznačena steza,Drobeče Sleme
Plaz Črlovec - Drobeče Sleme (zgornja pot),265,"delno zahtevna neoznačena pot, lahka označena pot",Drobeče Sleme
Plaz Črlovec - Drobeče Sleme (čez Vrtaško planino),240,"zahtevna neoznačena steza, lahka označena pot",Drobeče Sleme
Planina  Blato - Kreda (direktna pot),170,lahka neoznačena steza,Kreda
Planina Blato - Kreda (čez Slatno),200,lahko brezpotje,Kreda
Planina Blato - Eva (čez Adama),200,lahko brezpotje,Eva
Dom v Lepeni - Velika Baba,240,lahka označena pot,Velika Baba
Koča pri Savici - Velika Baba (čez Bogatinsko sedlo in Lanževico),360,lahko brezpotje,Velika Baba
Koča pri Savici - Velika Baba (mimo Velike Monture),335,lahka neoznačena steza,Velika Baba
Planina Polog - Velika Baba (mimo Velike Monture),340,lahka neoznačena steza,Velika Baba
Medvedova konta - Debela peč,135,lahka označena pot,Debela peč
Pri Rupah - Debela peč,135,lahka označena pot,Debela peč
Planina Zajavornik - Debela peč,150,lahka označena pot,Debela peč
Dolina Krma - Debela peč,195,zahtevna označena pot,Debela peč
Šport hotel - Debela peč,210,lahka označena pot,Debela peč
Rudno polje - Debela peč,195,lahka označena pot,Debela peč
Strmec - Debela peč,150,lahka označena pot,Debela peč
Kovinarska koča v Krmi - Debela peč (lovska pot),225,zelo zahtevno brezpotje,Debela peč
Strmec - Debela peč (mimo Spodnjih Brd),165,lahka označena pot,Debela peč
Krnica - Debela peč,330,lahka označena pot,Debela peč
Strmec - Debela peč (stara pot),135,lahka označena pot,Debela peč
Medvedova konta - Debela peč (mimo Kotla in po stari poti),130,"lahko brezpotje, lahka označena pot",Debela peč
Medvedova konta - Debela peč (mimo Kotla),145,"lahko brezpotje, lahka označena pot",Debela peč
Drežniške Ravne - Lopatnik,180,lahka označena pot,Lopatnik
Planina Blato - Adam,190,lahko brezpotje,Adam
Koča pri Savici - Mahavšček (čez vrh Bogatina),300,delno zahtevna označena pot,Mahavšček
 Koča pri Savici - Mahavšček (čez planino Govnjač),300,lahka označena pot,Mahavšček
Planina Polog - Mahavšček (čez planino Dobrenjščico),300,lahko brezpotje,Mahavšček
Planina Polog - Mahavšček (čez Prehodce),375,delno zahtevna označena pot,Mahavšček
Dom v Lepeni - Mahavšček (čez Bogatinsko sedlo),300,delno zahtevna označena pot,Mahavšček
Medvedova konta - Brda (zahodna pot),120,lahka označena pot,Brda
Medvedova konta - Brda (vzhodna pot),120,lahka označena pot,Brda
Dolina Krma - Brda,165,zahtevna označena pot,Brda
Planina Zajavornik - Brda (vzhodna pot),135,lahka označena pot,Brda
Šport hotel - Brda (vzhodna pot),195,lahka označena pot,Brda
Rudno polje - Brda (vzhodna pot),180,lahka označena pot,Brda
Pri Rupah - Brda (vzhodna pot),120,lahka označena pot,Brda
Rudno polje - Brda (zahodna pot),180,lahka označena pot,Brda
Pri Rupah - Brda (zahodna pot),120,lahka označena pot,Brda
Planina Blato - Rjavo jezero (Za Kopico),285,lahka označena pot,Rjavo jezero
Koča pri Savici - Rjavo jezero,285,zahtevna označena pot,Rjavo jezero
Planina  Blato - Rjavo jezero (čez Štapce),300,delno zahtevna označena pot,Rjavo jezero
Planina Blato - Rjavo jezero (čez Prode),300,lahka označena pot,Rjavo jezero
Konec ceste na Pokljuki - Ablanca,140,zahtevna neoznačena steza,Ablanca
Rudno polje - Ablanca (čez Srenjski preval),210,zahtevna neoznačena steza,Ablanca
Uskovnica (Razpotje) - Ablanca (čez planino Spodnji Tosc),215,zahtevna neoznačena steza,Ablanca
Rudno polje - Ablanca (čez Jezerce in Studorski preval),160,zahtevna neoznačena steza,Ablanca
Uskovnica (Razpotje) - Ablanca (čez Jezerce in Studorski preval),175,zahtevna neoznačena steza,Ablanca
Uskovnica (Lom) - Ablanca (čez Jezerce in Studorski preval),195,zahtevna neoznačena steza,Ablanca
"Srednja vas - Ablanca (Za Ribnico, čez Jezerce in Studorski preval)",280,zahtevna neoznačena steza,Ablanca
Uskovnica (Lom) - Ablanca (čez planino Spodnji Tosc),215,zahtevna neoznačena steza,Ablanca
Srednja vas - Ablanca (Za Ribnico in čez planino Spodnji Tosc),300,zahtevna neoznačena steza,Ablanca
Koča pri Savici - Lanževica (čez Bogatinsko sedlo),300,lahka označena pot,Lanževica
Koča pri Savici - Lanževica (čez Lepo Komno),300,lahka označena pot,Lanževica
Pod Zjabci - Lanževica (po Rapalski meji),240,zahtevno brezpotje,Lanževica
Pod Zjabci - Lanževica (čez Lepo Komno),300,lahka označena pot,Lanževica
Dom v Lepeni - Lanževica (čez Bogatinsko sedlo),300,lahka označena pot,Lanževica
Dom v Lepeni - Lanževica (mimo Velike Babe),280,lahko brezpotje,Lanževica
Koča pri Savici - Kal (čez Lepo Komno),315,lahko brezpotje,Kal
Ski hotel Vogel - Meja (čez Konjsko sedlo),240,lahko brezpotje,Meja
Ribčev Laz - Meja (čez Konjsko sedlo),420,lahko brezpotje,Meja
Ski hotel Vogel - Meja (z BPP za Rušnatim vrhom na greben),210,"delno zahtevna označena pot, lahko brezpotje",Meja
Ski hotel Vogel - Meja (po Bohinjski planinski poti in čez Vrh nad Škrbino),290,zelo zahtevna označena pot,Meja
