ime,drzava,drzava_2,drzava_3,gorovje,visina,vrsta,stevilo_ogledov,priljubljenost,stevilo_poti,opis,blok_poti 
Ortneški Stari grad,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",765,"vrh, cerkev",191224,54,1,"Ortneški Stari grad se nahaja na vzpetini Veliki Žrnovec, ki se dviguje jugozahodno od vasi Ortnek. Od gradu, ki je bil zgrajen v 12. stoletju so danes ostale le še ruševine. <br> Na drugi strani vrha ob nekoliko večjem travniku pa opazimo propadajočo cerkvico, ki je ""bila"" posvečena svetemu Juriju. <br> Prav tako na drugi strani travnika, ob manjši transformatorski postaji pa se nahaja vpisna skrinjica in žig.",
Pečna reber,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",763,"vrh, koča",293806,67,1,"Pečna reber je 763 m visok vrh, ki se nahaja severovzhodno od Postojne. Z vrha, na katerem stoji stoji Koča Mladika, se nam odpre lep razgled na Pivško in Postojnsko kotlino ter vrhove, ki obdajajo omenjen dve kotlini.",
Planinski dom na Kureščku,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",760,koča,292302,67,3,"Planinski dom na Kureščku se nahaja le nekaj 10 višinskih metrov pod vrhom Kureščka. Od doma oziroma bližnjega travnika pa sem nam odpre lep razgled na okoliško hribovje, kjer se najlepše vidi bližnji vrh Svetega Ahaca.",
Razgledna točka Široko,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",755,vrh,3320,29,1,"Razgledna točka leži 755 m visoko nad Mostom na Soči v istoimenskem zaselku Tolminskega Loma. Mogoč je dostop z avtomobilom do bližnje turistične kmetije ali peš iz Mosta na Soči ali Postaje. Na razgledni točki je panoramska tabla in daljnogled, čudovit razgled je na Kaninsko in Krnsko pogorje, del Tolminske kotline, greben Bohinjsko-Tolminskih gora, Cerkljansko hribovje in Šentviško planoto, v lepem vremenu se vidi tudi Dolomite.",
Sveti Primož in Felicijan (Osredek),Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",751,"vrh, koča, cerkev",171308,52,1,"Cerkev sv. Primoža in Felicijana v Osredku se nahaja na razgledni vzpetini nekako sredi vasi, katero sestavlja več manjših zaselkov. Osredek je sicer razloženo naselje, ki se nahaja nad potokoma Stara voda (Stara voda se izliva v Zalo, Zala pa je levi pritok Iške) in Črni potok (tudi Črni potok je levi pritok Iške) ter nad reko Iško. V bližini cerkve se nahaja še turistična kmetija Pri Ujčevih, kjer vas bodo gostoljubno sprejeli. Z Osredka se ob lepem vremenu odpre razgled, ki seže vse do Kamniških in Savinjskih Alp, ob nekoliko slabši vidljivosti pa le na okoliško hribovje, predvsem svet nad reko Iško in del Notranjske.",
Šilentabor,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",751,vrh,289004,66,6,"Šilentabor je 751 m visok vrh, ki se nahaja le malo nad istoimensko vasjo. Z vrha, v bližini katerega se nahaja tudi klop in vpisna skrinjica, se nam odpre lep razgled proti Vremščici, Nanosu, Pivški kotlini, grebenu Javornikov, Snežniku in hribovju nad dolino reke Reke. Žig se nahaja nekoliko pod vrhom, točneje v eni od bližnjih stanovanjskih hiš.",
Bloško jezero,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",748,"koča, jezero",436148,83,4,"Bloško jezero je do 2 metra globoko umetno jezero, ki se nahaja v bližini vasi Volčje. Po naselju Volčje ima jezero še drugo ime in sicer Volčje jezero. V poletnih dneh, ko se jezero prijetno ogreje je tudi priljubljena izletniška točka kopalcev, v lepih dneh preko celega leta pa jezero radi obiščejo kolesarji, sprehajalci, pohodniki... Ob jezeru se nahaja tudi okrepčevalnica Brunarica ob Bloškem jezeru.",
Veliko Gradišče,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",742,vrh,249244,61,2,"Veliko Gradišče je 742 m visok vrh, ki se nahaja južno od vasi lokev na Krasu in vzhodno od Kokoši. Z vrha, na katerem stoji betonski kamen, se nam odpre lep pogled proti Slavniku, Vremščici, Nanosu, Trnovskemu gozdu, ob lepem vremenu pa razgled seže vse do Krna in Triglava.",
Dom na Goropekah,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",742,koča,300229,67,2,Planinski dom na Goropekah se nahaja južno od naselja Žiri. Od doma je razgled zaradi gozda omejen in je le proti hribovju nad Žirmi. Dom do katerega pripelje cesta iz Žirov je že več let zaprt. Ob domu je tudi nekaj igral za najmlajše obiskovalce.,
Planinski dom pod Ježo,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",740,koča,165734,51,1,"Planinski dom, nekdaj obmejna stražnica, se nahaja ob slemenski cesti, na kanalskem Kolovratu, na nadmorski višini 740 m, z njim upravlja Planinsko društvo Valentin Stanič Kanal. Dom ima idealno lokacijo za pohodništvo, kolesarje, motoriste kot tudi za raziskovalce ostalin prve svetovne vojne, ob nekdanji meji z Italijo. Slemenska cesta in vrhovi Kolovrata nudijo prečudovit pogled na sever prek Soške doline na Alpe, proti jugu pa preko Benečije in Matajurja na Furlansko nižino vse do morja.<br> <br> <br> <br> Podatki o kapaciteti nastanitev v Planinskem domu pod Ježo:<br> <br> Ležišča:<br> <br> skupaj 34 ležišč<br> <br> ena soba - s 4 ležišči<br> <br> skupna ležišča - 18<br> <br> skupna ležišča - 12<br> <br> Jedilnica	50 sedežev<br> <br> <br> Dostop z avtomobilom do planinske koče pod Ježo:<br> <br> - Iz Volč preko sedla Solarji do koče 12,5 km<br> <br> - Iz Ušnika preko Volčanskih rut do koče (delno makadam) 9,6 km<br> <br> - Iz Doblarja po dolini Doblarca do Pušnega, desno do koče (delno makadam) 8,5 km<br> <br> - Iz Ročinja do Kambreškega skozi Srednje do koče 12 km<br> <br> - Iz Kanala do Liga po slemenski cesti skozi Kambreško in Srednje do koče 19,5 km<br> <br> - Iz Benečije - Italija - do Livka skozi Livške ravne do koče<br> <br> - čez sedlo Solarji do koče<br> <br> <br> <br> Vzponi na okoliške vrhove od Planinskega doma pod Ježo:<br> <br> - Ježa, 949 m, 0,40 h (lahka planinska pot)<br> <br> - Očna, 906 m, 0,55 h (lahka planinska pot)<br> <br> - Deveti konfin, 930 m, 0.40 h (lahka planinska pot)<br> <br> - Bukova ježa, 958 m, 1.15 h (lahka planinska pot)<br> <br> - Platena, 1038 m, 1.00 h (lahka planinska pot)<br> <br> - Na gradu/Monte Poclabuz, 1114 m, 2.00 h (lahka planinska pot)<br> <br> - ali prijeten sprehod do tolmunov reke Idrije, do soteske Doblarca ter do številnih razgledišč nad smaragdno Sočo.<br> <br> Od leta 2020 poteka mimo našega Planinskega doma pod Ježo tudi Julijana Trail, vabljeni:<br> <br> <a target=# class=moder href=https://www.tic-kanal.si/pohodnistvo/2020100911113341/juliana_trail__17_etapa?fbclid=IwAR3_VXgD8cpZ8FLqBKVV_IH0pMHRWKn_fXoFS7mUHFZDr0JcNQ4nwhm5pEw>https://www.tic-kanal.si/pohodnistvo/2020100911113341/juliana_trail__17_etapa?fbclid=IwAR3_VXgD8cpZ8FLqBKVV_IH0pMHRWKn_fXoFS7mUHFZDr0JcNQ4nwhm5pEw</a><br> <br> <a target=# class=moder href=https://www.tic-kanal.si/pohodnistvo/2020100911573295/Juliana%20trail%20-%2018.%20etapa?fbclid=IwAR1hK8sFnk1xUKO0-RvuPy5ba1FWopB1XJ_EQxMt9toCJoYjJ3ljs6JITFw>https://www.tic-kanal.si/pohodnistvo/2020100911573295/Juliana%20trail%20-%2018.%20etapa?fbclid=IwAR1hK8sFnk1xUKO0-RvuPy5ba1FWopB1XJ_EQxMt9toCJoYjJ3ljs6JITFw</a><br> <br> <br> <br> Dom bo predvidoma odprt v sezoni ob vikendih, v ponudbi načrtujemo tudi druge možnosti koriščenja, kot so planinski tabori, izobraževanja in druge dejavnosti povezane s planinstvom, rekreacijo in športom.<br> <br> Za večje organizirane skupine predhodna najava in rezervacije.<br> <br> <br> <br> Kontakt na telefonsko številko koče – 051 320 284 in 041 220 274 na gmail – pdvs.kanal@gmail.com<br> <br> več info o Planinskem domu pod Ježo tudi na Fb strani:<br> <br> <a target=# class=moder href=https://www.facebook.com/Dom-pod-Je%C5%BEo-101571645151410>https://www.facebook.com/Dom-pod-Je%C5%BEo-101571645151410</a>",
Sveti Gregor na Slemenih,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",737,"vrh, koča, cerkev",182623,53,1,"Sveti Gregor je naselje, ki se nahaja na razglednih Slemenih. Sredi naselja se nahaja župnijska cerkev sv. Gregorja Velikega, v bližini pa še veliko športno igrišče, dva gasilska domova, rojstna hiša Janeza Evangelista Kreka in gostilna.",
Hrpeljska gora,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",737,vrh,231763,59,3,"Hrpeljska gora ali Mišja šoga je 737m visok vrh, ki se nahaja južno od Hrpelj. Z delno poraščenega vrha pa se nam odpre lep razgled po bližnji in daljni okolici.",
Škavnica,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",734,vrh,3200,28,1,Škavnica je 734 metrov visok vrh nad Vipavo. Z vrha na katerem stoji manjši križ in klopca je zelo lep razgled na Vipavsko dolino ter na vrhove nad omenjeno dolino. Vrh je obdan s skalovjem na katerem bomo opazili tudi številne kraške pojave. V bližini vrha (5 minut) se nahaja tudi lesen paviljon imenovan Bivak Teodozij.,
Koča na Planini nad Vrhniko,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",733,"vrh, koča",614194,96,10,"Planina nad Vrhniko je za Vrhničane nekaj takega, kot za Ljubljančane Šmarna gora. Visoka je 733 m, na njo pa vodi kar nekaj poti iz različnih smeri. Poleti so poti v prijetni senci, pozimi pa so dobro shojene. Zaradi bližine je priljubljena izletniška točka, ki privablja mnogo ljubiteljev narave in drugih, ki si nabirajo kondicijo za zahtevnejše ture. Na vrhu se poleg planinske koče nahaja lesen razgledni stolp.<br>Od leta 2018 stoji ob razglednem stolpu, na mestu stare koče, nova koča.",
Koča na Kavcu,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",730,,240477,60,1,"Koča na Kavcu je manjše zavetišče zaprtega tipa (kočo se da najeti), ki se nahaja sredi prostranih gozdov med Ljubljanskim barjem in Krimom. Ob koči se nahaja še miza s klopjo, spominsko obeležje NOB in manjši bio hladilnik.",
Čičer,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",726,,3580,29,1,"Čičer je hrib nad Ročinjem v občini Kanal ob Soči, na katerega nas popelje na novo označena krožna pot.",
Šenčurjev vrh,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",725,vrh,4378,31,2,"Šenčurjev vrh je 725 metrov visok hrib, ki se nahaja nad naseljem Žibrše, le to pa med Logatcem, Hotedršico in Rovtami. Na vrhu, s katerega se nam odpre lep razgled po bližnji in daljni okolici, stoji razgledna plošča, ob njej pa prijetna klopca.",
Sveti Urh (Zavratec),Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",724,cerkev,2440,26,3,"Cerkev sv. Urha se nahaja sredi vasi Zavratec na nadmorski višini 724 m. od cerkve oz. bližnje okolice, se nam odpre lep razgled na okoliško hribovje ter na Zavratec.",
Sveti Martin (Šilentabor),Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",723,cerkev,164549,51,4,"Cerkev sv. Martina, se nahaja na razglednem grebenu, južno od Šilentabora. Od cerkve, se nam odpre lep razgled predvsem proti vzhodu in zahodu, kjer lahko ob lepem vremenu vidimo greben Javornikov, Snežnik, Vremščico in hribovje nad dolino reke Reke.",
Primož,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",718,vrh,259664,63,2,"Primož je 718 m visok vrh, ki se nahaja južno do jugovzhodno od Pivke. Zaradi idealne lokacije s pogledom na celotno Pivško kotlino, pa so Italijani v času med obema svetovnima vojnama, na njem zgradili obsežen vojaški objekt s številnimi rovi in bunkerji. <br>Danes je Primož večinoma poraščen vrh, okoli katerega vodi turistično -zgodovinska pot, ki je opremljena s številnimi informativnimi tablami. <br>Vrh ima vpisno skrinjico in žig.",
Planina Jegno,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",715,planina,188607,54,1,Planina Jegno se nahaja severno od Slavnika (1028m) pod manj znanim vrhom Zdrkec (799m). S planine na kateri stoji nekaj povečini propadajočih koč je lep pogled proti že prej omenjenemu Slavniku.,
Stari grad,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",703,vrh,167597,51,1,"Stari grad je 703 m visok vrh, ki se nahaja med Planino in Uncem. Z vrha, na katerem se nahajajo oddajniki, se nam zaradi gozda in grmičevja, odpre lep pogled le proti jugovzhodu, kjer lahko vidimo del okoliškega hribovja.",
Obrovnik,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",700,vrh,77,3,1,"Obrovnik je hrib, ki se nahaja med Kokošjo in Velikim Gradiščem. Vrh ni prav razgleden.",
Mali Mošenik,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",700,vrh,36,2,1,"Mali Mošenik je razgledni vrh, ki se pne na meji med kočevsko in kostelsko občino nad Moravo in Ajbljom. Vrh je delno gol in nudi obsežen razgled na Kočevsko ter na Kolpsko dolino.",
Grad Lož (Pusti grad),Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",698,vrh,4362,31,1,"Grad Lož, tudi Pusti grad ali Loški grad (po nemško Laas), se nahaja vzhodno od naselja Lož. Z gradu oz. vzpetine, na kateri se danes nahajajo le še razvaline, se nam odpre lep pogled proti Loški dolini, Racni gori, Snežniku, Javornikom in bližnji okolici.",
Sveti Janez Krstnik (Goropeke),Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",682,cerkev,978,18,1,"Cerkev sv. Janeza Krstnika se nahaja v vasici Goropeke, le ta pa nad Žirmi. Od cerkve, ki je bila zgrajena v 15 stoletju, se nam odpre lep razgled na okoliške hribe.",
Sveta Gora,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",681,"vrh, koča, cerkev",512528,91,13,"Sveta Gora je poznana predvsem pri vernikih in domačinih. Sveta Gora je znano romarsko središče nad Novo Gorico. Sem zahajajo verniki iz vse Slovenije in tudi sosednjih držav. Na vrhu stoji cerkev, nekaj gostinskih lokalov in veliko parkirišče. Razgled je lep na Goriške hribe.",
Sv. Katarina nad Novokračinami,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",675,"vrh, cerkev",3268,29,2,"Kapela sv. Katarine se nahaja na istoimenski vzpetini jugozahodno od Novokračin, naselja v bližini slovensko-hrvaške meje. Z vrha se nam ob lepem vremenu odpre lep pogled na Reški zaliv, Učko in okoliško hribovje. Malo pod vrhom se nahaja lovska koča, še nekaj metrov nižje pa balinišče.",
Sveta Barbara (Ravnik pri Hotedršici),Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",674,"vrh, cerkev",2859,27,1,"Cerkev sv. Barbare se nahaja na razgledni vzpetini nad naseljem Ravnik pri Hotedršici. Od cerkve oz. njene bližnje okolice se nam odpre predvsem lep razgled proti jugu, kjer lepo vidimo večinoma gozdnate vrhove Hrušice. Razgled proti severu ovira bližnji pas gozda.",
Goropeški grič (Pikrej),Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",672,vrh,733,15,1,"Goropeški grič oz. Pikrej kot tudi pravijo tej vzpetini, se nahaja južno od Žirov. S travnikov v bližini vpisne skrinjice, se nam odpre lep pogled na okoliško hribovje, ob lepi vidljivosti pa razgled seže vse do Triglava.",
Skozno,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",671,,286546,66,2,"Skozno je naravno okno, jama ter most, ki se nahaja na Južnih obronkih Trnovskega gozda, nad vasjo Šmihel pri Novi Gorici. Ob oknu je vpisna skrinjica z vpisno knjigo in žigom, ob skrinjici pa vhod v krajšo kaverno iz časa 1. sv. vojne. Na drugi strani okna, kot je kaverna, pa se nahaja naravna jama, skozi katero vodi krožna, tehnično zahtevna, markirana planinska pot. Z naravnega mostu nad oknom, pa se odpre lep pogled na spodnji del Vipavske doline, Trstelj in del Jadranskega morja.",
Kokoš,Italija,,Slovenija,"Goriško, Notranjsko in Snežniško hribovje",670,"vrh, koča",608634,96,9,"Koča na Kokoši se nahaja na vrhu Jirmanec, le ta pa le 5 minut stran od z gozdom poraščene Kokoši. Z vrha, ki se nahaja južno od Lokavskega polja ter, ki meji med Slovenijo in Italijo, se nam odpre lep razgled predvsem proti jugu, kjer lahko vidimo okoliško gričevje. ",
Rajna peč,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",656,vrh,2041,25,1,"Rajna peč je razgleden vrh, ki se nahaja med Zaplanoto, Rovtami in Podlipo. Z vrha, na katerem stoji velik lesen križ, na robu pečine pa še manjši starejši, se nam odpre lep razgled po okoliškem hribovju, ob lepem vremenu pa razgled seže vse do Alp.",
Vodice,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",651,vrh,370669,76,11,"Vodice (po nekaterih zapisih tudi Sv. Jakob) so vrh, ki se nahaja na zahodnem delu Banjške planote. Z vrha, na katerem stoji mavzolej Generala Gonzage, je lep razgled proti bližnji Sveti Gori in sosednjemu Sabotinu. Na vrhu in njegovi bližnji okolici, je veliko vojaških rovov, kavern itd. <br>5 minut stran v smeri severozahod se nahaja še spomenik ""pri orlih"" (spomenik italijanskim alpinom).",
Jampršnik,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",649,vrh,228847,59,2,"Jampršnik je malo znan in še manj obiskan vrh, ki se nahaja v verigi gora jugozahodno od Črnega Kala. Kljub skromni višini pa je z vrha lep razgled na Tržaški zaliv in mesta in vasi ob slovenski in italijanski obali.",
Škabrijel,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",646,vrh,488768,89,6,"Škabrijel je vzpetina severo-vzhodno od mesta Gorica. Odkar so na vrhu posekali vegetacijo in postavili visok kovinski razgledni stolp, nudi izjemno lep razgled na vse strani. Kot na dlani imamo reko Sočo med Solkanom in Podgoro. Na severu se lepo rišejo Julijci in Karnijske Alpe. Na jugu vidimo za kraškimi Črnimi hribi s Trsteljem tudi Jadransko morje, na vzhodu pa zahodni rob Trnovske planote. <br> Zanimiv je tudi iz zgodovinskega vidika saj so se na njem bili hudi boji med prvo svetovno vojno.<br> Ime je pa dobil po cerkvici, ki je stala na njem pred prvo svetovno vojno, svetega Gabrijela.",
Trstelj,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",643,vrh,549011,94,9,"Trstelj je najvišji vrh, v grebenu Črnih hribov. S prostranega vrha, na katerem stojijo televizijski oddajniki je razgled razpolovljen. S severne strani vrha lepo vidimo Goriško s Sabotinom, Sveto Goro in Škabrijelom. Za omenjenimi vrhovi ob lepi vidljivosti vidimo velik del Julijcev, bolj desno pa Trnovsko planoto z Golaki, Čavnom in Nanosom na vzhodu, pod katerim vidimo Vipavsko dolino. Na južno stran pa vidimo Tržaški zaliv, del italijanske obale, ob lepi vidljivosti pa tudi savudrijski polotok.",
Rimska trdnjava (Lanišče),Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",635,,2360,26,1,"Rimska trdnjava na Lanišču je poznorimska trdnjava it 4. stoletja našega štetja. Nahaja se dobrih 100 metrov stran od glavne ceste Kalce - Col, od nje pa zaradi bližnjega gozda ni lepšega razgleda, je pa že sama trdnjava vredna ogleda.",
Frančiškov hrib,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",632,vrh,208585,56,3,"Frančiškov hrib je manj izrazit vrh, ki se nahaja na Skalnici, katere najvišji vrh je 681 metrov visoka Sveta Gora. Z razglednega vrha, na katerem stoji kip sv. Frančiška, se nam odpre lep razgled proti bližnji Sveti Gori, planoti Banjšice, Trnovski gozd, Trstelj, Sabotin in Novo Gorico z okolico.",
Stol (Črni hribi),Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",629,vrh,155726,50,1,"Stol je s 629 m drugo najvišji vrh v grebenu Črnih hribov. Višji od njega je le njegov vzhodni sosed 643 m visok Trstelj. Z vrha, na katerem je vpisna skrinjica zaradi gozda ni razgleda.",
Strmica,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",626,vrh,2540,27,1,"Strmica je 626 metrov visok vrh, ki se nahaja nad Zaplano. Na vrhu je objekt ministrstva za obrambo, dostop pa zaradi varovanega območja povsem na vrh ni možen. Z razgledne točke nekaj metrov pod vrhom, se nam odpre lep razgled proti vzhodu in severovzhodu.",
Lovska koča Plehanov laz,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",625,koča,2310,26,1,"Lovska koča Plehanov laz se nahaja pod vrhom Linte (778 m), le ta pa zahodno od ceste Preserje - Rakitna. Koča oz. dom je v lasti LD Rakitna.",
Partizanska bolnica Krvavice,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",620,,280595,65,1,"Partizanska bolnica Krvavice je bila postavljena 28.8.1942 in je delovala do oktobra naslednjega leta. Bolnica, ki je bila obnovljena leta 1952, se nahaja zahodno od Iškega Vintgarja, na strmih in z gozdom poraščenih pobočjih.",
Kuk nad Paljevim,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",612,"vrh, bivak",2996,28,3,"Kuk je z gozdom poraščen vrh, ki se dviga vzhodno od reke Soče, točneje nad naseljema Plave in Paljevo. Nekoliko severno do severozahodno od vrha, pa se nahaja prijetno travnato razgledišče in vzletišče, od koder je lep pogled proti reki Soči in hribom nad njo. Ob vzletišču se nahaja manjše zasilno zavetišče.",
Lovski dom pod Glavico,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",610,"koča, sedlo",142678,48,2,"Lovski dom se nahaja na prevalu med Glavico (646m) in Barbarco (719m) na skrajnem severnem delu Čičarije. Od doma pa se nam ob lepem vremenu odpre lep razgled predvsem proti zahodu, kjer lahko vidimo del slovenskega primorja.",
Stjenkova koča na Trstelju,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",610,koča,394878,79,8,"Stjenkova koča se nahaja le malo pod vrhom Trstelja. Od koče, do katere pripelje tudi cesta je razgled zaradi bližnjega gozda omejen, zato se je dobro povzpeti na 5 minut oddaljen vrh.",
Sabotin,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",609,vrh,611964,96,5,"Sabotin je vzpetina nad Novo Gorico ali bolje Solkanom. Kljub njegovi skromni višini, je odlično razgledišče s pogledom na Julijce, reko Sočo, goriško kotlino, Kras, morje, Furlansko nižino in zahodnejših Alp. Zanimiv je tudi iz zgodovinskega vidika, saj so se tukaj bile najhujše bitke v prvi svetovni vojni (Sabotin je namreč prevrtan s številnimi vojaškimi rovi). Pod njim se pne čez reko Sočo železniški most z največjim kamnitim lokom na svetu, ki je bil zgrajen še pod Avstro-Ogrsko leta 1906, kot ključni objekt na drugi železniški povezavi med Trstom in Dunajem.",
Vitovski hrib,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",604,"vrh, cerkev",258386,62,4,"Vitovski hrib je 604m visoka vzpetina, ki se nahaja severno od vasi Vitovlje v Vipavski dolini. Z vrha na katerem stoji cerkev, ki je posvečena Materi Božji oz. Svetemu Duhu je lep razgled po večjem delu Vipavske doline in hribovju, ki le to obdaja. Ob lepi vidljivosti, lahko poleg Tržaškega zaliva vidimo tudi velik del Dolomitov.<br>Le malo pod vrhom, pa se nahaja tudi Vitovsko jezero (dolgo 10m, široko 7m in globoko 1m), ki je edino naravno jezero v Vipavski dolini.",
Stari tabor,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",603,vrh,325103,71,5,"Stari tabor je razgleden vrh, ki se nahaja zahodno od Divače, severno od Lokev in južno od vasi Povir. Z vrha na katerem je žig in vpisna skrinjica je lep razgled predvsem na vrhove, ki obdajajo Vipavsko dolino. <br>Domačini pa so na vrhu postavili tudi manjše zavetišče, ki je namenjeno jaslicam.",
Unška koliševka,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",594,,343251,73,1,"Unška koliševka je do 125 m globoka jama udornica, ki je nastala s podrtjem stropa v veliki podzemni dvorani reke Rak. Jamo večinoma obdajajo strma pobočja in ostenja, tako da je dostop do dna udornice na nekaj mestih nevaren za zdrs. Ob informativni tabli ob vstopu v udornico, pa se začne splet starih italijanskih rovov, ki so bili grajeni v času med obema svetovnima vojnama.",
Zidovnik (Sedovnik),Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",575,vrh,168819,51,1,"Zidovnik je 575m visok vrh, ki se nahaja zahodno od Sežane. Z vrha na katerem se nahaja nekaj oddajnikov je zaradi gozda razgled omejen in je večinoma le proti zahodu, kjer lahko vidimo del Tržaškega zaliva.",
Sveti Tomaž (Planinca),Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",572,cerkev,203351,56,3,"Cerkev svetega Tomaža na Planinci, se nahaja sredi večjega travnika, ob markirani poti Jezero - Krim. Od cerkve oziroma njene bližnje okolice se nam odpre lep pogled na Ljubljansko barje, ob lepi vidljivosti pa razgled seže vse do Kamniško Savinjskih Alp.",
Soteska Pekel 5. slap,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",570,slap,338641,72,2,"5. slap je najvišji od vseh slapov v tej soteski. Visok je 20m in pada prek krajše stene na poševno skalno ploščo, kjer se razprši. Pod slapom je nastalo manjše jezerce (tolmun).",
Stolovec,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",563,vrh,124235,46,1,"Stolovec je z gozdom poraščen vrh, ki se nahaja zahodno od bolj poznanega Trstelja. Vrh ima vpisno skrinjico, a brez žiga.",
Sveta Ana (Razguri),Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",560,"vrh, jezero, cerkev",1551,22,1,"Cerkev sv. Ane se nahaja na vzpetini severovzhodno od naselja Razguri. Od cerkve, v bližini katere se nahaja kal, se nam odpre nekaj razgleda proti hribovju nad dolino Raše.",
Dom na Sabotinu,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",560,koča,441182,84,2,"Dom se nahaja, severno od Sabotina, na razglednem pobočju, s katerega je lep pogled proti zahodu. V bližini planinskega doma, pa se nahaja večje število kavern, za ogled le teh pa je potrebna svetilka.",
Sveti Socerb (Vipavska brda),Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",555,"vrh, cerkev",4400,31,2,"Sveti Socerb je razgleden vrh v Vipavskih brdih, na katerem stoji cerkev sv. Servula. Razgledna vzpetina leži nad Podrago, Podnanosom in Orehovico. Z vrha, na katerem se nahaja tudi vpisna skrinjica z vpisno knjigo, se nam odpre lep razgled na del Vipavske doline, Nanos, Trnovski gozd, Sveto Goro, Sabotin...",
Stari grad nad Želimljami,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",555,vrh,1380,20,1,"Stari grad nad Želimljami je z gozdom poraščen vrh, ki se med Želimljami in Rogatcem nad Želimljami.",
Štanjel (Sveti Danijel),Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",553,vrh,49811,36,0,"Štanjel (Sveti Danijel) se nahaja vzhodno od Škabrijela (646 m). Na vrhu so ostanki položajev in jarkov iz 1. sv vojne.
<br>Na vrhu je skrinjica z vpisno knjigo.",
Lešenjak,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",552,vrh,122815,46,1,"Lešenjak je z višino 552 m, med najvišjimi vrhovi v grebenu Črnih hribov. V bližini vrha, ki ima vpisno skrinjico so številni rovi in kaverne iz časa 1. svetovne vojne.",
Volnik,Italija,,Slovenija,"Goriško, Notranjsko in Snežniško hribovje",546,vrh,381475,77,1,"Volnik oz. po italijansko Monte Lanaro je 546 m visok hrib, ki se nahaja pri vasi Pliskovica na Krasu. Na vrhu je manjši stolp, razgled pa sega od Tržaškega zaliva do Julijskih Alp.",
